Kabupaten_Kota,RLS,Tahun,AMH,Status,RLS_lower,RLS_upper,AMH_lower,AMH_upper
Kab. Agam,7.56,2010,98.03,Actual,7.56,7.56,98.03,98.03
Kab. Agam,7.68,2011,97.91,Actual,7.68,7.68,97.91,97.91
Kab. Agam,7.91,2012,98.04,Actual,7.91,7.91,98.04,98.04
Kab. Agam,8.09,2013,99.11,Actual,8.09,8.09,99.11,99.11
Kab. Agam,8.1,2014,99.48,Actual,8.1,8.1,99.48,99.48
Kab. Agam,8.17,2015,99.96,Actual,8.17,8.17,99.96,99.96
Kab. Agam,8.18,2016,99.76,Actual,8.18,8.18,99.76,99.76
Kab. Agam,8.39,2017,99.5,Actual,8.39,8.39,99.5,99.5
Kab. Agam,8.69,2018,99.63,Actual,8.69,8.69,99.63,99.63
Kab. Agam,8.85,2019,99.72,Actual,8.85,8.85,99.72,99.72
Kab. Agam,8.96,2020,99.6,Actual,8.96,8.96,99.6,99.6
Kab. Agam,8.97,2021,99.53,Actual,8.97,8.97,99.53,99.53
Kab. Agam,8.98,2022,99.98,Actual,8.98,8.98,99.98,99.98
Kab. Agam,9.22,2023,99.66,Actual,9.22,9.22,99.66,99.66
Kab. Agam,9.23,2024,99.97,Actual,9.23,9.23,99.97,99.97
Kab. Agam,9.57,2025,99.57,Actual,9.57,9.57,99.57,99.57
Kab. Agam,9.909071055919977,2026,99.17109299159435,Forecast,9.81811991792661,10.020850952539472,98.8447924317813,99.49130992504463
Kab. Agam,10.248142099269257,2027,98.77218587226844,Forecast,9.944312132935785,10.60870472064753,97.77726806708776,99.79095183645174
Kab. Agam,10.587213142618538,2028,98.37327875294253,Forecast,9.995586114131106,11.290792920728839,96.44209687698563,100.4336273561881
Kab. Agam,10.927213147730418,2029,97.97327873739928,Forecast,10.01924221779705,11.982835693903269,94.71916632151398,101.14586853452246
Kab. Agam,11.2662841910797,2030,97.57437161807337,Forecast,9.926242495336082,12.725662117655185,92.9188887687887,101.95509808917821
Kab. Agam,11.605355234428979,2031,97.17546449874746,Forecast,9.797028751784595,13.553196239115659,90.91795443995841,102.9695971125051
Kab. Agam,11.944426277778263,2032,96.77655737942155,Forecast,9.666618970678007,14.317269947384974,88.77179450546342,104.19435695308366
Kab. Agam,12.284426282890141,2033,96.37655736387829,Forecast,9.534740833100058,15.150573792491091,86.49643798791122,105.5424446614226
Kab. Agam,12.623497326239423,2034,95.97765024455238,Forecast,9.388092986201794,16.01524060372705,84.15255098482407,107.08300725737664
Kab. Agam,12.962568369588704,2035,95.57874312522647,Forecast,9.135609534362754,16.887587121405726,81.9757832925055,108.72791103619466
Kab. Dharmasraya,7.43,2010,97.88,Actual,7.43,7.43,97.88,97.88
Kab. Dharmasraya,7.83,2011,97.96,Actual,7.83,7.83,97.96,97.96
Kab. Dharmasraya,7.88,2012,96.78,Actual,7.88,7.88,96.78,96.78
Kab. Dharmasraya,7.94,2013,97.15,Actual,7.94,7.94,97.15,97.15
Kab. Dharmasraya,7.99,2014,98.08,Actual,7.99,7.99,98.08,98.08
Kab. Dharmasraya,8.03,2015,99.69,Actual,8.03,8.03,99.69,99.69
Kab. Dharmasraya,8.23,2016,99.85,Actual,8.23,8.23,99.85,99.85
Kab. Dharmasraya,8.24,2017,99.29,Actual,8.24,8.24,99.29,99.29
Kab. Dharmasraya,8.25,2018,99.93,Actual,8.25,8.25,99.93,99.93
