Kabupaten_Kota,RLS,Tahun,AMH
Kab. Agam,7.56,2010,98.03
Kab. Agam,7.68,2011,97.91
Kab. Agam,7.91,2012,98.04
Kab. Agam,8.09,2013,99.11
Kab. Agam,8.1,2014,99.48
Kab. Agam,8.17,2015,99.96
Kab. Agam,8.18,2016,99.76
Kab. Agam,8.39,2017,99.5
Kab. Agam,8.69,2018,99.63
Kab. Agam,8.85,2019,99.72
Kab. Agam,8.96,2020,99.6
Kab. Agam,8.97,2021,99.53
Kab. Agam,8.98,2022,99.98
Kab. Agam,9.22,2023,99.66
Kab. Agam,9.23,2024,99.97
Kab. Agam,9.57,2025,99.57
Kab. Dharmasraya,7.43,2010,97.88
Kab. Dharmasraya,7.83,2011,97.96
Kab. Dharmasraya,7.88,2012,96.78
Kab. Dharmasraya,7.94,2013,97.15
Kab. Dharmasraya,7.99,2014,98.08
Kab. Dharmasraya,8.03,2015,99.69
Kab. Dharmasraya,8.23,2016,99.85
Kab. Dharmasraya,8.24,2017,99.29
Kab. Dharmasraya,8.25,2018,99.93
Kab. Dharmasraya,8.46,2019,99.49
Kab. Dharmasraya,8.47,2020,99.54
Kab. Dharmasraya,8.55,2021,99.79
Kab. Dharmasraya,8.56,2022,99.19
Kab. Dharmasraya,8.71,2023,99.59
Kab. Dharmasraya,8.98,2024,99.85
Kab. Dharmasraya,9.31,2025,99.28
Kab. Kepulauan Mentawai,6.14,2010,95.44
Kab. Kepulauan Mentawai,6.15,2011,91.73
Kab. Kepulauan Mentawai,6.16,2012,91.22
Kab. Kepulauan Mentawai,6.17,2013,94.57
Kab. Kepulauan Mentawai,6.19,2014,95.72
Kab. Kepulauan Mentawai,6.27,2015,99.22
Kab. Kepulauan Mentawai,6.52,2016,99.38
Kab. Kepulauan Mentawai,6.69,2017,99.59
Kab. Kepulauan Mentawai,6.95,2018,99.3
Kab. Kepulauan Mentawai,7.08,2019,99.51
Kab. Kepulauan Mentawai,7.09,2020,98.1
Kab. Kepulauan Mentawai,7.2,2021,98.76
Kab. Kepulauan Mentawai,7.48,2022,98.46
Kab. Kepulauan Mentawai,7.76,2023,99.66
Kab. Kepulauan Mentawai,8.03,2024,99.33
Kab. Kepulauan Mentawai,8.21,2025,99.14
Kab. Lima Puluh Kota,7.37,2010,97.82
Kab. Lima Puluh Kota,7.4,2011,97.84
Kab. Lima Puluh Kota,7.52,2012,98.56
Kab. Lima Puluh Kota,7.58,2013,99.51
Kab. Lima Puluh Kota,7.59,2014,99.75
Kab. Lima Puluh Kota,7.91,2015,99.92
